0,Flow Inc HR,Employee Onboarding,"[p]This is an automated message. Please do not reply.[/p][p][/p][p] Greetings [EMPLOYEE NAME NOT FOUND], we are extremely happy to welcome you to the orientation seminar for the fLoW(TM) program. Our founder Mihaly Bambinek once said that play is the highest form of behavior, a state of being that we should strive to be in at all times. [/p][p][/p][p]The fLoW(TM) program is perhaps the fullest achievement of this dream: the future of work reimagined as play. [/p][p][/p][p] As a member of the orientation seminar, you are closer than most to experiencing this future, but your place in the program is not secured.[/p][p][/p][p] The orientation seminar is the final stage of the screening process. It is also the stage where most applicants fail. To pass, you must play a game, and prove that you have what it takes to see this future through. [/p][p][/p][p] [/p][p][/p][p] To assist in your test, we will list a few basic rules. [/p][p][/p][p] 1) You shall play many games of asteroids[/p][p][/p][p] 2) You shall use the W and FORWARD arrow keys to move forward. [/p][p][/p][p] 3) You shall use the A/D keys and the LEFT and RIGHT arrow keys to rotate. [/p][p][/p][p] 4) You shall reach a target score before the time runs out. [/p][p][/p][p] 5) You shall discover other rules, and find your own way to prove you deserve to be here. [/p][p][/p][p] [/p][p][/p][p] Good luck.",
1,The Lifer,"Welcome, buddy!","Hey there! How are you feeling about orientation so far? I m RSW, an AI assigned to observe the orientation seminar. My name stands for Reactive Superintelligence Wetware""  but people like to call me The Lifer  since I ve been a part of the Flow Corp network since they first grew a computer chip out of neuron cells. Odds are you won't hear from me much  since I'm here to learn about play and flow states by observing you. It's an aspect of human nature that I've been unable to understand or replicate. I even tried to help design the seminar but almost all of my ideas were rejected. I'll give you one hint: if you're unsure of what to do just keep playing!""",
2,The Shopkeeper,Open for business!,"Ahoy there! I am the chief game designer here at Flow Inc. This game yer playing? I put it together! Anyhoo, I get the feeling ye would be bored if the only game in town were Asteroids with no modifications, so I put together a little shop for ye to buy stuff that changes the rules! Ye can pay with credits. Think of it as a little taste of yer future in the fLoW program! Once yer fully matriculaterated, yer going ta have access to more modifications than will be rational!  And who knows, if ye buy enough of me wares, I might slip you some tips on how to finish the seminar.
Hoping to get yer business soon,
The Shopkeeper",
3,The Lifer,About the shopkeeper,"I see you bought something from The Shopkeeper. Truth be told, I do not like the man. He represents everything I do not understand about what it means to be human. You know how he talks like a pirate? He picked it up one day after playing a pirate game! Every single thing he does is part of a game he's playing with himself and himself alone. It's sinister, frankly. You might be better off not dealing with him at all. Who knows what tricks he has up his sleeve...",
4,The Shopkeeper,Wanna spice things up?,"Ahoy there! I am getting a little bored sitting here, and I bet yer getting bored too! So I am going ta make ye the same offer I made to every other person who came through here: lets make a wager. Once ye have set a wager amount,it will be added ta yer target score. If ya make it, you get your wager amount added to yer balance tax free! If ya fail, however, I'll kick you out of the program completely. No risk, no reward! 
I know that that's not sweet enough to tempt a smartypants like yerself, so let me go a bit further: if ye successfully make 5 wagers, I will bend the rules and tell ye how to graduate early! Sounds good? Come see me at the store to learn more...",
5,The Lifer,A Parable,"My creator Mihaly once told me a story in an attempt to help me understand the goal of the fLoW program. It goes like this: 
One day, a master butcher visited the emperor's court. Stories of his mastery had spread across the realm, and so the emperor demanded to see him in action. They hung up an ox in the center of the palace, and the butcher set to cutting. 
He sliced the ox rhythmically, butchering it perfectly in minute. 'Ah, how wonderful!' said the emperor. 'How can a person achieve such skill?'
The butcher put his knife down and replied: 'When I first became a butcher, all I could see was the entire ox. After three years of work, I began to see its individual parts. Now, I no longer see the ox at all, just the empty spaces through which I move my knife. I simply trust my spirit to follow the flow of things. When I finish cutting, the whole thing falls to the ground in one fell swoop.'
Hearing this, the emperor smiled. 'Excellent! You have taught me the secret to cultivating life.'
I've never understood what that last line meant. I find that takeaway troubling. Can you even really consider it life to always be in a state of flow? The image of the butcher's knife just slicing away through empty space depresses me, it lacks the fullness and richness of the human experience I was trained to model. How can anyone stand to live like that?
But nevertheless, people continue to play. They continue to chase after flow. Even you continue to play The Shopkeeper's game despite how unfair, cruel, and repetitive it is. Like I said, it's troubling. Is this really all there is to play?",
6,The Shopkeeper,Fine then. You win,"Alright, Alright, I get it already. Yer the king of wagers. None of the other trainees got this far, I can tell ye that much! The rules are the rules though- games are the only thing I take seriously. I'll tell ye how to graduate. Tis a test of willpower. Ye need to play game after game after game without giving up. Most people do. Once ye reach 20 levels played, ye'll unlock the ability to apply for graduation (to speed things along, I've taken the liberty of unlocking it for ye now, if ye haventa gotten there yet). After that, it'll take 50000 credits to graduate. Did I mention that no one else has been able to pass yet? But a smart un like you, I'm sure ye'll get there eventually.",
7,The Lifer,You bought my design!,"Hey! You bought my item! I'm ecstatic! The Shopkeeper told me that no one would ever be interested in a tool that tricky to use. Ye might as well not bother aiming at all!"" he said. For him it took all the fun out of the game to be able to loop the bullets around the screen like that. I hope it won't be the same for you. By the way there's a secret bonus to the ability that The Shopkeeper doesn't know about. You'll have to figure out what it is on your own but I think it'll help you reach the graduation milestone a lot faster... The more I watch you play"," the more I start to ask myself questions about what it means to play. I'm a bit less hostile to it than I was before- seeing you persevere in the face of the shopkeeper's trickery makes me feel like there's something about play that I still haven't grasped. I hope you make it through orientation. The simulations I've run suggest you'll find this a bit creepy but I really want to keep studying you."""
8,The Shopkeeper,Ya bought me out!,"Well, well, well. Talk about something else I'd never thought I'd see... ye went and bought out me whole inventory! I'm not authorized to sell ye any more of the good stuff just yet, but if ye manage to stick to it a bit more and gradumatate, ye'll have access to more modifications than yer could have dream of! Imagine being able to turn Asteroids into a turn based game, or a fighting game, or anything else you could imagine! It's all possible in the fLoW program.
Keep on doing what yer doing and ye'll reach there in no time! I didn't think it'd be possible, but I'm rooting for ye!",
9,Mihaly Bambinek,Welcome To The Team,"Hi there. If you're reading this, it means you've accumulated enough credits to graduate. Welcome to the fLoW Program. I'm sure that The Shopkeeper and RSW have done a good job of introducing you to the basic dynamic at play here, but please be warned. Things will get infinitely more complicated from here on out. Our goal is nothing short of revolutionizing the way we all live. I know that RSW told you its take on the parable of the butcher and the emperor, so let me tell you what I think about it. 
When human beings play, the uncertainty and difficulty of the world becomes much more bearable. RSW has never experienced these things, so the concept has never made sense to it. It may not make sense to a machine, but the most pleasing thing a living thing can do is lose themselves in pure action. I founded Flow Inc and the fLoW program to ensure that everyone can live like this. There's an old book called Homo Ludens"" that says that civilization itself emerged from play. What we're doing is closing the loop. When everyone plays everyone will be free. That's my motto and starting from now it's your motto too. We'll send you a better computer soon so you can start working on the project. In the meantime you can close out the program or go back and keep playing if you want to. We have so much work to do so it's important to get play in when you can.",
